chr,strand,start,end,Transcript,Splicing_type,exon_pair_len
chr6,+,56999541,57017149,NM_001031623.3,LS,17608
chr6,+,57006745,57018845,NM_001031623.3,LS,12100
chr6,+,57018658,57025950,NM_001031623.3,LS,7292
chr6,+,56997839,57006253,NM_001031623.3,LS,8414
chr6,+,56993526,57006253,NM_001031623.3,LS,12727
chr6,+,57006745,57017149,NM_001031623.3,LS,10404
chr6,+,56999541,57006253,NM_001031623.3,LS,6712
chr6,+,57011887,57018845,NM_001031623.3,LS,6958
chr6,+,56993526,57018845,NM_001031623.3,LS,25319
chr6,+,56989531,57006253,NM_001031623.3,LS,16722
chr6,+,56999541,57006893,NM_001031623.3,LS,7352
chr2,+,28974903,29001905,NM_206876.2,LS,27002
chr2,+,28974903,29004708,NM_206876.2,LS,29805
chr3,+,152163070,152164546,NM_001376823.1,LS,1476
chr6,+,119871394,120164253,NR_134600.1,LS,292859
chr9,+,37762573,37763862,NR_104612.2,LS,1289
chr11,-,111715323,111731028,NM_001352422.2,LS,15705
chr11,-,111711377,111728460,NM_001352422.2,LS,17083
chr9,-,33468955,33470189,NM_022917.5,LS,1234
chr11,+,64127948,64132937,NM_003942.3,LS,4989
chr11,+,64129113,64136269,NM_003942.3,LS,7156
chr11,+,64127948,64136269,NM_003942.3,LS,8321
chr11,+,64135603,64136073,NM_003942.3,LS,470
chr4,+,99325627,99338039,NM_001100426.2,LS,12412
chr4,+,99338517,99342545,NM_001100426.2,LS,4028
chr4,+,4546464,4707637,NR_037888.1,LS,161173
chr4,+,4651099,4707637,NR_037888.1,LS,56538
chr19,-,51503679,51504431,NM_144505.3,LS,752
chr9,-,116824956,116836432,NM_001633.4,LS,11476
chr9,-,116837239,116839020,NM_001633.4,LS,1781
chr9,-,116831978,116836432,NM_001633.4,LS,4454
chr1,+,206648207,206658409,NM_014002.4,LS,10202
chr1,+,206651502,206653876,NM_014002.4,LS,2374
chr1,+,206647673,206652476,NM_014002.4,LS,4803
chr1,+,206661250,206664191,NM_014002.4,LS,2941
chr1,+,206647673,206653456,NM_014002.4,LS,5783
chr17,-,74564794,74566750,NM_006456.3,LS,1956
chr18,+,55983213,56056424,NM_001144967.3,LS,73211
chr3,-,56661609,56703819,NM_001112736.2,LS,42210
chr3,-,56667071,56700412,NM_001112736.2,LS,33341
chr2,-,110882765,110920712,NM_001374257.1,LS,37947
chr14,+,67382719,67578636,NM_001377514.1,LS,195917
chr14,+,67431907,67576976,NM_001377514.1,LS,145069
chr14,+,67309395,67452455,NM_001377514.1,LS,143060
chr19,-,6963620,6981226,NR_024075.2,LS,17606
chr1,-,149905298,149907252,NM_001145862.2,LS,1954
chr9,-,6565353,6620319,NM_000170.3,LS,54966
chr9,-,6553367,6589292,NM_000170.3,LS,35925
chr9,-,6589194,6592223,NM_000170.3,LS,3029
chr9,-,6558558,6605278,NM_000170.3,LS,46720
chr9,-,6556152,6620319,NM_000170.3,LS,64167
chr6,-,55988859,56006781,NR_134850.2,LS,17922
chr17,+,72470670,72473669,NM_001330456.1,LS,2999
chr9,-,80040477,80043952,NM_004297.4,LS,3475
chr2,+,220397604,220402458,NM_018674.6,LS,4854
chr8,+,64085211,64100303,NM_001277813.2,LS,15092
chr8,+,64081945,64085357,NM_001277813.2,LS,3412
chr4,-,871402,906582,NM_005255.4,LS,35180
chr5,-,40764853,40769605,NM_001355028.2,LS,4752
chr5,-,40769517,40775605,NM_001355028.2,LS,6088
chrX,+,86877210,86919935,NM_019117.5,LS,42725
chrX,+,86888748,86919935,NM_019117.5,LS,31187
chr9,+,101984827,101990282,NM_006808.3,LS,5455
chr17,-,9281868,9448599,NM_004853.3,LS,166731
chr17,-,9395145,9448599,NM_004853.3,LS,53454
chr1,-,247012916,247051535,NR_136586.2,LS,38619
chrX,-,39226766,39236236,NR_110385.1,LS,9470
chr8,+,1841734,1853882,NM_001308153.2,LS,12148
chr5,+,112337053,112339774,NM_152624.6,LS,2721
chr17,+,61432143,61490995,NM_001394998.1,LS,58852
chr17,+,61345108,61489491,NM_001394998.1,LS,144383
chr1,+,222798109,222825674,NM_001324062.2,LS,27565
chr19,-,5707707,5708414,NM_004793.4,LS,707
chr11,-,613784,615007,NM_004031.4,LS,1223
chr6,+,129419317,129764213,NM_000426.4,LS,344896
chr7,-,92195327,92207496,NM_001040057.3,LS,12169
chr6,-,136563998,136566007,NM_001099286.3,LS,2009
chr6,-,136562581,136564111,NM_001099286.3,LS,1530
chr6,-,136560603,136570291,NM_001099286.3,LS,9688
chr3,-,49398360,49413024,NM_001313943.2,LS,14664
chr3,-,49398360,49400059,NM_001313943.2,LS,1699
chr1,+,150312878,150318977,NR_146769.1,LS,6099
chr4,-,76836020,76839942,NM_014435.4,LS,3922
chr1,-,197480857,197510145,NM_001195215.2,LS,29288
chr4,+,154504341,154533552,NM_001131007.2,LS,29211
chr12,+,1887019,1889803,NM_001375364.1,LS,2784
chr12,+,1845244,1882127,NM_001375364.1,LS,36883
chr8,+,144461998,144462953,NM_052924.3,LS,955
chr20,-,33173240,33222519,NM_080476.5,LS,49279
chr20,-,33231967,33233138,NM_080476.5,LS,1171
chr20,-,33169351,33225789,NM_080476.5,LS,56438
chr20,-,33169351,33245048,NM_080476.5,LS,75697
chr20,-,33176256,33232030,NM_080476.5,LS,55774
chr12,+,4385170,4398156,NM_001759.4,LS,12986
chr9,+,131802730,131830611,NM_032809.4,LS,27881
chr20,+,30136831,30156083,NM_178580.3,LS,19252
chr20,+,30149436,30156083,NM_178580.3,LS,6647
chr20,+,30142548,30156083,NM_178580.3,LS,13535
chr20,+,30137009,30147450,NM_178580.3,LS,10441
chr20,+,30132749,30154098,NM_178580.3,LS,21349
chr20,+,30137866,30154098,NM_178580.3,LS,16232
chr20,+,30147413,30156083,NM_178580.3,LS,8670
chr20,+,30137866,30156083,NM_178580.3,LS,18217
chr20,+,30137866,30147450,NM_178580.3,LS,9584
chr1,+,185060710,185069094,NM_007212.4,LS,8384
chr8,-,144695365,144696867,NM_001317783.2,LS,1502
chr8,-,144695365,144698390,NM_001317783.2,LS,3025
chr11,-,130278662,130281495,NM_007037.6,LS,2833
chr11,-,130281311,130286970,NM_007037.6,LS,5659
chr4,+,166258940,166261527,NM_006745.5,LS,2587
chr7,+,155493466,155567341,NM_053043.3,LS,73875
chr7,+,155457868,155538296,NM_053043.3,LS,80428
chr7,+,155493466,155559349,NM_053043.3,LS,65883
chr16,+,88017689,88071617,NM_001173543.1,LS,53928
chr16,+,88008653,88071617,NM_001173543.1,LS,62964
chr16,+,88017689,88098938,NM_001173543.1,LS,81249
chr16,+,88008653,88014733,NM_001173543.1,LS,6080
chr14,+,93276598,93299692,NM_005113.4,LS,23094
chr17,-,41957149,41981861,NM_001278381.2,LS,24712
chr17,-,41958825,41959879,NM_001278381.2,LS,1054
chr1,+,32650125,32658332,NM_001376857.1,LS,8207
chr1,+,32646842,32658332,NM_001376857.1,LS,11490
chr1,+,32653554,32658332,NM_001376857.1,LS,4778
chr19,-,36293092,36303458,NM_021232.2,LS,10366
chr19,-,36293869,36302950,NM_021232.2,LS,9081
chr1,-,3548776,3555386,NM_017818.4,LS,6610
chr20,-,57611744,57612335,NM_016045.3,LS,591
chr14,+,105865638,105877833,NM_001195082.2,LS,12195
chr4,-,39843567,39881453,NM_001100399.2,LS,37886
chr4,-,39847437,39891984,NM_001100399.2,LS,44547
chr4,-,39839475,39922019,NM_001100399.2,LS,82544
chr4,-,39875908,39900445,NM_001100399.2,LS,24537
chr4,-,39900396,39918808,NM_001100399.2,LS,18412
chr4,-,39864955,39878773,NM_001100399.2,LS,13818
chr8,+,136569690,136657360,NM_006558.3,LS,87670
chr3,+,33344565,33420233,NM_001349326.2,LS,75668
chr1,+,160178253,160181506,NM_001297576.2,LS,3253
chr1,+,160176922,160178455,NM_001297576.2,LS,1533
chr12,-,75900095,75900389,NM_007043.7,LS,294
chr8,-,39332941,39363391,NR_073423.1,LS,30450
chr8,-,39331451,39332224,NR_073423.1,LS,773
chr8,-,39331000,39358177,NR_073423.1,LS,27177
chr8,-,39312857,39358177,NR_073423.1,LS,45320
chr6,+,33406195,33415710,NM_006772.3,LS,9515
chr6,+,33400461,33406068,NM_006772.3,LS,5607
chr12,+,48501147,48528821,NM_001354736.1,LS,27674
chr1,-,36203592,36211163,NM_022111.4,LS,7571
chr2,+,132508205,132516110,NR_167889.1,LS,7905
chr2,+,132509081,132516110,NR_167889.1,LS,7029
chr2,+,132479989,132516110,NR_167889.1,LS,36121
chr10,-,98290296,98325183,NM_020123.4,LS,34887
chr10,-,98287169,98319493,NM_020123.4,LS,32324
chr10,-,98287169,98287934,NM_020123.4,LS,765
chr8,+,36664892,36673205,NR_134267.2,LS,8313
chr8,+,36697980,36698521,NR_134267.2,LS,541
chr8,+,36691071,36693883,NR_134267.2,LS,2812
chr8,+,36691071,36788663,NR_134267.2,LS,97592
chr8,+,36766828,36780147,NR_134267.2,LS,13319
chr8,+,36703097,36763322,NR_134267.2,LS,60225
chr8,+,36691071,36776415,NR_134267.2,LS,85344
chrX,+,23801916,23802520,NR_027783.3,LS,604
chrX,+,23801774,23802520,NR_027783.3,LS,746
chr3,-,4459693,4461830,NM_182760.4,LS,2137
chr12,-,31566369,31633189,NM_144973.4,LS,66820
chr19,-,55741980,55753007,NM_014931.4,LS,11027
chr19,-,55748280,55756770,NM_014931.4,LS,8490
chr19,-,55751603,55758477,NM_014931.4,LS,6874
chr19,-,55751366,55753856,NM_014931.4,LS,2490
chr19,-,55742141,55748189,NM_014931.4,LS,6048
chr19,-,55751603,55757046,NM_014931.4,LS,5443
chr11,-,116655093,116656352,NM_003904.5,LS,1259
chr19,+,34790583,34818771,NM_014686.5,LS,28188
chr11,-,118919187,118920549,NM_006389.5,LS,1362
chr11,-,118919729,118921885,NM_006389.5,LS,2156
chr11,-,118917273,118923141,NM_006389.5,LS,5868
chr22,-,50942236,50945095,NM_001363816.2,LS,2859
chr22,-,50943831,50944244,NM_001363816.2,LS,413
chr22,-,50942236,50945533,NM_001363816.2,LS,3297
chr22,-,50943485,50944244,NM_001363816.2,LS,759
chr22,-,50942987,50944931,NM_001363816.2,LS,1944
chr22,-,50942236,50944642,NM_001363816.2,LS,2406
chr22,-,50942768,50943966,NM_001363816.2,LS,1198
chr22,-,50944102,50945533,NM_001363816.2,LS,1431
chr12,-,121206127,121222396,NM_139015.5,LS,16269
chr20,+,30732893,30738678,NM_001363731.2,LS,5785
chr20,+,30742905,30745772,NM_001363731.2,LS,2867
chr3,+,182585163,182605501,NM_014616.3,LS,20338
chr8,-,134271410,134292510,NM_001135242.2,LS,21100
chr7,+,101063257,101183330,NM_001278563.3,LS,120073
chr7,+,101188618,101190520,NM_001278563.3,LS,1902
chr7,+,101090964,101199152,NM_001278563.3,LS,108188
chr7,+,101187278,101194424,NM_001278563.3,LS,7146
chrX,+,100805953,100806616,NM_016608.2,LS,663
chr19,+,21544567,21558166,NM_001355237.2,LS,13599
chr1,-,146638076,146643746,NM_005399.5,LS,5670
chr2,+,170850832,170937194,NM_172070.4,LS,86362
chr15,-,83328596,83333242,NM_001278512.2,LS,4646
chr15,-,83346422,83350332,NM_001278512.2,LS,3910
chr10,-,123285668,123286468,NM_001320654.2,LS,800
chr17,+,80010131,80011925,NM_001321089.3,LS,1794
chr14,-,68151731,68157961,NM_016026.4,LS,6230
chr6,-,93964364,93969197,NM_004440.4,LS,4833
chr16,-,15841730,15870033,NM_001040113.2,LS,28303
chr1,+,211565168,211599625,NR_026761.2,LS,34457
chr1,+,211565168,211570173,NR_026761.2,LS,5005
chr19,+,8320705,8321594,NM_024552.3,LS,889
chr19,+,8320490,8321594,NM_024552.3,LS,1104
chr6,-,26839902,26853222,NR_003504.3,LS,13320
chr13,+,113738311,113739298,NM_001366644.2,LS,987
chr13,+,113728757,113742113,NM_001366644.2,LS,13356
chr13,+,113719249,113741770,NM_001366644.2,LS,22521
chr13,+,113729311,113739298,NM_001366644.2,LS,9987
chr9,-,19118318,19126446,NR_038064.2,LS,8128
chr9,-,19123562,19126446,NR_038064.2,LS,2884
chr2,-,240946732,240960829,NR_136155.2,LS,14097
chr19,-,47588312,47589795,NM_015168.2,LS,1483
chr10,-,43694539,43697393,NM_145313.4,LS,2854
chr10,-,43693451,43698868,NM_145313.4,LS,5417
chr10,-,43693451,43695704,NM_145313.4,LS,2253
chr10,-,43694539,43698868,NM_145313.4,LS,4329
chr4,+,110740156,110743644,NM_018983.4,LS,3488
chr17,+,4843781,4846814,NM_001370303.1,LS,3033
chr11,+,105842640,105845171,NM_000829.4,LS,2531
chr16,-,89383340,89497734,NM_001256182.2,LS,114394
chr16,-,89352446,89497734,NM_001256182.2,LS,145288
chr16,+,72090059,72091365,NM_005143.5,LS,1306
chr3,+,158539772,158542025,NR_110328.3,LS,2253
chr9,-,135144789,135229142,NM_001351528.2,LS,84353
chr9,-,135145001,135229142,NM_001351528.2,LS,84141
chr2,+,231110577,231174754,NM_007237.5,LS,64177
chr2,+,231135300,231176310,NM_007237.5,LS,41010
chr2,+,231101797,231113683,NM_007237.5,LS,11886
chr3,+,15471419,15473730,NM_033083.7,LS,2311
chr3,+,15475854,15478082,NM_033083.7,LS,2228
chr8,-,142229748,142264728,NM_001286646.2,LS,34980
chr10,-,61413432,61466946,NM_001323981.2,LS,53514
chr10,-,61423984,61466946,NM_001323981.2,LS,42962
chr5,-,137289854,137292231,NR_169825.1,LS,2377
chr9,-,102769859,102783013,NM_015051.3,LS,13154
chr1,-,243327585,243363982,NM_014812.3,LS,36397
chr17,+,19188932,19232200,NM_014964.5,LS,43268
chr17,+,19188932,19213310,NM_014964.5,LS,24378
chrX,-,131351943,131352369,NM_001271186.2,LS,426
chrX,-,131351023,131352040,NM_001271186.2,LS,1017
chr11,-,117712505,117714921,NM_001164836.3,LS,2416
chr3,+,3170697,3186394,NR_159934.1,LS,15697
chr14,+,24606351,24606640,NM_176783.3,LS,289
chr14,+,24606193,24607006,NM_176783.3,LS,813
chr14,+,24606728,24607608,NM_176783.3,LS,880
chr14,+,24606529,24607326,NM_176783.3,LS,797
chr2,-,128399623,128412118,NM_001136037.4,LS,12495
chr8,-,41518947,41615655,NM_000037.4,LS,96708
chr8,-,41521176,41615655,NM_000037.4,LS,94479
chr8,-,41519393,41615655,NM_000037.4,LS,96262
chr15,-,41605470,41624179,NM_007280.2,LS,18709
chr3,+,173322068,173518142,NM_001365923.2,LS,196074
chr17,-,7496011,7504843,NM_004860.4,LS,8832
chr17,-,7497235,7507223,NM_004860.4,LS,9988
chr19,+,2799686,2807050,NM_003249.5,LS,7364
chr15,+,78777102,78780678,NM_001320942.2,LS,3576
chr18,-,45712304,45778669,NM_001371290.1,LS,66365
chr18,-,45691501,45778669,NM_001371290.1,LS,87168
chr15,+,43441226,43473497,NM_001347006.2,LS,32271
chr10,+,35537036,35539554,NM_181698.4,LS,2518
chr13,+,21148518,21230569,NR_148462.2,LS,82051
chr13,+,21142023,21230569,NR_148462.2,LS,88546
chr17,+,37357465,37358692,NM_001330200.1,LS,1227
chr17,+,37357465,37360440,NM_001330200.1,LS,2975
chr17,+,37358569,37360440,NM_001330200.1,LS,1871
chr3,+,33406116,33425693,NR_146130.2,LS,19577
chr7,-,134132731,134136505,NM_001346142.1,LS,3774
chrX,+,123211806,123220620,NM_001042749.2,LS,8814
chr6,-,62371186,62388852,NR_146870.2,LS,17666
chr6,-,62369021,62388852,NR_146870.2,LS,19831
chr7,+,107236311,107254177,NM_001371364.2,LS,17866
chr7,+,107215632,107253877,NM_001371364.2,LS,38245
chr13,-,41827084,41828756,NM_001354073.1,LS,1672
chr1,-,31742004,31744346,NM_004814.3,LS,2342
chr11,-,74992118,74998419,NM_004041.5,LS,6301
chr19,-,7992541,7993051,NM_006351.4,LS,510
chr19,-,7992541,7999123,NM_006351.4,LS,6582
chr19,-,7997724,7998888,NM_006351.4,LS,1164
chr19,-,7997511,8006082,NM_006351.4,LS,8571
chr19,-,7992541,8006082,NM_006351.4,LS,13541
chr19,-,7992961,8003082,NM_006351.4,LS,10121
chr9,-,140260944,140271733,NR_104598.2,LS,10789
chr2,-,152132271,152135504,NM_004688.3,LS,3233
chr1,+,19644093,19651256,NR_109848.2,LS,7163
chrX,-,53970566,54069253,NM_015107.3,LS,98687
chr17,-,73236892,73245089,NM_001291641.2,LS,8197
chr5,-,90599689,90609046,NR_103548.1,LS,9357
chr15,+,42026719,42054560,NM_001400225.1,LS,27841
chr19,-,35993037,36001154,NM_033317.5,LS,8117
chr19,-,35993037,36003692,NM_033317.5,LS,10655
chr19,-,36001085,36003692,NM_033317.5,LS,2607
chr7,+,44147605,44152950,NM_001129.5,LS,5345
chr7,+,44147037,44152508,NM_001129.5,LS,5471
chr7,+,44147037,44151229,NM_001129.5,LS,4192
chr7,+,44149613,44151649,NM_001129.5,LS,2036
chr12,+,7342617,7362838,NM_001131026.2,LS,20221
chr9,+,5463074,5465539,NR_052005.2,LS,2465
chr9,+,37498087,37501841,NM_001282766.2,LS,3754
chr9,+,37486699,37495983,NM_001282766.2,LS,9284
chr9,+,37492653,37495273,NM_001282766.2,LS,2620
chr9,+,37493555,37501841,NM_001282766.2,LS,8286
chr9,+,37492278,37492712,NM_001282766.2,LS,434
chr8,-,120584415,120650767,NM_001330600.2,LS,66352
chr17,-,2595297,2604814,NM_001366661.1,LS,9517
chr1,+,55172107,55197222,NR_037641.2,LS,25115
chr7,+,113928073,114178438,NR_033766.2,LS,250365
chr7,+,114066556,114178438,NR_033766.2,LS,111882
chr1,+,86047047,86048307,NM_001554.5,LS,1260
chr6,+,64237723,64260398,NM_001385258.1,LS,22675
chr17,-,8283113,8285633,NM_001315530.2,LS,2520
chr4,+,38893363,38930954,NM_138389.4,LS,37591
chr3,-,138022348,138033249,NM_001349018.2,LS,10901
chr22,+,50354965,50356513,NM_001001852.4,LS,1548
chr22,+,50355089,50356513,NM_001001852.4,LS,1424
chr7,+,878434,883157,NM_001367705.1,LS,4723
chr7,+,878434,881767,NM_001367705.1,LS,3333
chr6,+,13053596,13182918,NM_001322313.2,LS,129322
chr6,+,13206046,13286454,NM_001322313.2,LS,80408
chr7,+,157159195,157202695,NM_058246.4,LS,43500
chr14,+,67841184,67843307,NM_004094.5,LS,2123
chr1,+,76877692,77093244,NM_001349106.2,LS,215552
chr8,-,37267864,37279087,NR_170191.1,LS,11223
chr8,-,37267864,37330728,NR_170191.1,LS,62864
chr19,+,39205108,39217743,NM_001322033.2,LS,12635
chr19,+,39201915,39219021,NM_001322033.2,LS,17106
chr4,+,184207119,184233621,NM_024949.6,LS,26502
chr3,+,109178729,109195609,NR_109841.1,LS,16880
chr5,+,176562087,176662946,NM_022455.5,LS,100859
chr5,+,176673678,176710929,NM_022455.5,LS,37251
chr6,-,32798394,32800601,NM_001290043.2,LS,2207
chr10,-,75612011,75613004,NR_160040.1,LS,993
chr3,-,49061927,49065755,NM_000884.3,LS,3828
chr3,-,49062091,49065965,NM_000884.3,LS,3874
chr3,-,49062558,49064480,NM_000884.3,LS,1922
chr3,-,49061927,49062473,NM_000884.3,LS,546
chr3,-,49062558,49065965,NM_000884.3,LS,3407
chr3,-,49062091,49064319,NM_000884.3,LS,2228
chr3,-,49061927,49063852,NM_000884.3,LS,1925
chr4,+,186244681,186260664,NM_001378032.2,LS,15983
chr4,+,186263129,186267804,NM_001378032.2,LS,4675
chr4,+,186209165,186274756,NM_001378032.2,LS,65591
chr4,+,186241886,186283865,NM_001378032.2,LS,41979
chr4,+,186203957,186278891,NM_001378032.2,LS,74934
chr4,+,186263129,186278891,NM_001378032.2,LS,15762
chr4,+,186241886,186272763,NM_001378032.2,LS,30877
chr4,+,186209165,186260664,NM_001378032.2,LS,51499
chr4,+,186253748,186260664,NM_001378032.2,LS,6916
chr4,+,186263129,186274756,NM_001378032.2,LS,11627
chr4,+,186203957,186260664,NM_001378032.2,LS,56707
chr4,+,186203957,186272763,NM_001378032.2,LS,68806
chr4,+,186203957,186244954,NM_001378032.2,LS,40997
chr4,+,186267690,186283259,NM_001378032.2,LS,15569
chr4,+,186203957,186283259,NM_001378032.2,LS,79302
chr4,+,186260532,186283259,NM_001378032.2,LS,22727
chr4,+,186209165,186272763,NM_001378032.2,LS,63598
chr4,+,186263129,186272763,NM_001378032.2,LS,9634
chr4,+,186260532,186272763,NM_001378032.2,LS,12231
chr4,+,186209165,186231970,NM_001378032.2,LS,22805
chr4,+,186203957,186263270,NM_001378032.2,LS,59313
chr4,+,186203957,186283865,NM_001378032.2,LS,79908
chr4,+,186267690,186278891,NM_001378032.2,LS,11201
chr4,+,186263129,186283259,NM_001378032.2,LS,20130
chr4,+,186272598,186278891,NM_001378032.2,LS,6293
chr4,+,186203957,186253913,NM_001378032.2,LS,49956
chr4,+,186203957,186274756,NM_001378032.2,LS,70799
chr4,+,186263129,186283865,NM_001378032.2,LS,20736
chr12,-,110388971,110418851,NM_057169.5,LS,29880
chr12,-,110371826,110403382,NM_057169.5,LS,31556
chr11,-,119996398,119998277,NM_012101.4,LS,1879
chr11,-,119988930,119998277,NM_012101.4,LS,9347
chr11,-,119988930,119991373,NM_012101.4,LS,2443
chr2,-,33812306,33817281,NM_015475.5,LS,4975
chr17,-,57125043,57158580,NR_148346.2,LS,33537
chrX,+,7077940,7175404,NM_001320751.2,LS,97464
chr17,-,39911981,39929178,NM_001352776.2,LS,17197
chr17,-,67293331,67309437,NM_018672.5,LS,16106
chr4,+,86643037,86844923,NM_001025616.3,LS,201886
chr10,+,88856690,88911589,NM_001377169.1,LS,54899
chr16,+,20838674,20856563,NM_001199053.2,LS,17889
chr16,+,20827437,20856167,NM_001199053.2,LS,28730
chr17,+,29320857,29324349,NM_001184992.2,LS,3492
chr17,+,29314961,29320922,NM_001184992.2,LS,5961
chr17,+,29311634,29320922,NM_001184992.2,LS,9288
chr18,-,74700450,74700868,NM_001025101.2,LS,418
chr18,-,74696730,74700868,NM_001025101.2,LS,4138
chr7,-,26232870,26236101,NM_031243.3,LS,3231
chr7,-,26232870,26236278,NM_031243.3,LS,3408
chr15,-,41809995,41816170,NM_015540.4,LS,6175
chr15,-,41819364,41820534,NM_015540.4,LS,1170
chr15,-,41814962,41821766,NM_015540.4,LS,6804
chr15,-,41815442,41819803,NM_015540.4,LS,4361
chr15,-,41819620,41822177,NM_015540.4,LS,2557
chr15,-,41823220,41828847,NM_015540.4,LS,5627
chr11,-,8643191,8668108,NM_001388024.1,LS,24917
chr11,-,8640929,8671434,NM_001388024.1,LS,30505
chr11,-,8641596,8664673,NM_001388024.1,LS,23077
chr11,-,8693794,8696430,NM_001388024.1,LS,2636
chr11,-,8669962,8696430,NM_001388024.1,LS,26468
chr11,-,8640929,8668108,NM_001388024.1,LS,27179
chr12,-,6697463,6707265,NM_001273.5,LS,9802
chr3,-,125727574,125745322,NM_001008487.2,LS,17748
chr8,+,27957344,28016150,NM_001284222.2,LS,58806
chr16,+,2867430,2868970,NM_006799.4,LS,1540
chr14,+,73554708,73577863,NM_021239.3,LS,23155
chr8,+,28906476,28906911,NM_001324393.2,LS,435
chr5,+,34923237,34925080,NR_169876.1,LS,1843
chr5,+,34919944,34923156,NR_169876.1,LS,3212
chr5,+,34923105,34925080,NR_169876.1,LS,1975
chr7,-,73118679,73123018,NM_004603.4,LS,4339
chr14,-,23817099,23821064,NM_020372.4,LS,3965
chr5,-,56224593,56242913,NM_001297598.2,LS,18320
chr10,+,116879948,116888272,NR_074088.3,LS,8324
chr17,-,42453675,42463084,NM_000419.5,LS,9409
chr10,+,22634651,22657607,NM_001253854.2,LS,22956
chr10,+,22634651,22676925,NM_001253854.2,LS,42274
chr16,+,67701198,67702001,NM_001012984.3,LS,803
chr17,+,38146346,38153633,NM_002809.4,LS,7287
chr17,+,38151206,38153633,NM_002809.4,LS,2427
chr17,+,38145991,38151321,NM_002809.4,LS,5330
chr17,+,38144935,38146182,NM_002809.4,LS,1247
chr17,+,38146346,38152591,NM_002809.4,LS,6245
chrX,-,70328448,70330900,NM_000206.3,LS,2452
chrX,-,70328448,70329240,NM_000206.3,LS,792
chr5,-,138837341,138837768,NM_001077693.4,LS,427
chr5,-,138784766,138837392,NM_001077693.4,LS,52626
chr5,-,138784766,138837189,NM_001077693.4,LS,52423
chr5,-,138784766,138837768,NM_001077693.4,LS,53002
chrX,+,117530932,117577650,NM_019045.5,LS,46718
chr11,-,8435041,8498298,NM_001352389.2,LS,63257
chr11,-,8498233,8498830,NM_001352389.2,LS,597
chr11,-,8457040,8498830,NM_001352389.2,LS,41790
chr11,-,8498233,8502161,NM_001352389.2,LS,3928
chr11,-,8457040,8498298,NM_001352389.2,LS,41258
chr3,+,184033276,184033644,NM_001291157.2,LS,368
chr1,-,93128275,93169478,NM_001377213.1,LS,41203
chr1,-,93128976,93170301,NM_001377213.1,LS,41325
chr1,-,93169397,93170301,NM_001377213.1,LS,904
chr1,-,93128976,93202184,NM_001377213.1,LS,73208
chr1,-,93169397,93202184,NM_001377213.1,LS,32787
chr1,-,93128976,93169176,NM_001377213.1,LS,40200
chr1,+,231885671,231906816,NM_001164537.2,LS,21145
chr1,+,231829571,231931042,NM_001164537.2,LS,101471
chr1,+,231829571,231906816,NM_001164537.2,LS,77245
chr1,+,231829571,231885822,NM_001164537.2,LS,56251
chr15,+,36950461,37100690,NM_001321757.2,LS,150229
chr17,+,78968818,78969558,NM_024591.5,LS,740
chr17,+,78968818,78971141,NM_024591.5,LS,2323
chr17,+,78969471,78970872,NM_024591.5,LS,1401
chr2,-,1668729,1684134,NM_012293.3,LS,15405
chr2,-,1668729,1680816,NM_012293.3,LS,12087
chr2,-,1658171,1696906,NM_012293.3,LS,38735
chr2,-,1647139,1665956,NM_012293.3,LS,18817
chr2,-,1648389,1670258,NM_012293.3,LS,21869
chr2,-,1665843,1695771,NM_012293.3,LS,29928
chr2,-,1651943,1687499,NM_012293.3,LS,35556
chr2,-,1651943,1658280,NM_012293.3,LS,6337
chr2,-,1667376,1680816,NM_012293.3,LS,13440
chr2,-,1664652,1680816,NM_012293.3,LS,16164
chr2,+,201595753,201615303,NR_135011.1,LS,19550
chr2,+,201595753,201637797,NR_135011.1,LS,42044
chr1,-,149901046,149907513,NM_181873.3,LS,6467
chr7,+,29763887,29773194,NR_158194.1,LS,9307
chr7,+,29726894,29763934,NR_158194.1,LS,37040
chr7,+,72352019,72416247,NM_001387688.1,LS,64228
chr7,+,72350741,72416247,NM_001387688.1,LS,65506
chr7,+,72361165,72416247,NM_001387688.1,LS,55082
chr19,+,30934467,31040421,NM_001352260.2,LS,105954
chr14,+,71495416,71575763,NM_014982.3,LS,80347
chr14,+,71476350,71555147,NM_014982.3,LS,78797
chr14,+,71434914,71576309,NM_014982.3,LS,141395
chr14,+,71492833,71555147,NM_014982.3,LS,62314
chrX,-,2826761,2843806,NM_001669.4,LS,17045
chr11,-,46452440,46570050,NR_160027.1,LS,117610
chr11,-,46435649,46452637,NR_160027.1,LS,16988
chr11,-,46435649,46570050,NR_160027.1,LS,134401
chr11,-,46435649,46439602,NR_160027.1,LS,3953
chr11,-,46455023,46570050,NR_160027.1,LS,115027
chr2,+,71361077,71366992,NM_005791.3,LS,5915
chr2,+,136379063,136380302,NM_001378107.1,LS,1239
chr2,+,136399105,136467801,NM_001378107.1,LS,68696
chr2,+,136467628,136480123,NM_001378107.1,LS,12495
chr2,+,136362375,136396225,NM_001378107.1,LS,33850
chr20,+,18270542,18285822,NM_001352450.2,LS,15280
chr20,+,18270542,18286451,NM_001352450.2,LS,15909
chr20,+,18270542,18290950,NM_001352450.2,LS,20408
chr20,+,18270542,18279108,NM_001352450.2,LS,8566
chr22,-,18273763,18310547,NM_015241.3,LS,36784
chr8,-,53084128,53122677,NM_001352877.2,LS,38549
